Opinion,Opinion Date,Opinion Price,Current Price,Change %,Ticker,Company,Industry,Avg Daily Vol,Market Cap($M),Research Resources,Inst Ownership %,P/E Ratio (TTM),P/B Ratio,P/S Ratio,Gross Margin %,Operating Margin %,Net Margin %
BUY,12/12/19,3.63,$3.83,10,WIT,Wipro Ltd,Software,1357014,21785.97,https://www.gurufocus.com/stock/WIT/summary|https://finance.yahoo.com/quote/WIT|https://stockinvest.us/technical-analysis/WIT|https://stocktwits.com/symbol/WIT|https://www.marketwatch.com/investing/stock/WIT,2.68,15.09,2.75,2.49,29.36,17.48,16.58
BUY,12/12/19,3.63,$3.83,10,WIT,Wipro Ltd,Software,1357014,21785.97,https://www.gurufocus.com/stock/WIT/summary|https://finance.yahoo.com/quote/WIT|https://stockinvest.us/technical-analysis/WIT|https://stocktwits.com/symbol/WIT|https://www.marketwatch.com/investing/stock/WIT,2.68,15.09,2.75,2.49,29.36,17.48,16.58
BUY,12/12/19,3.63,$3.83,10,WIT,Wipro Ltd,Software,1357014,21785.97,https://www.gurufocus.com/stock/WIT/summary|https://finance.yahoo.com/quote/WIT|https://stockinvest.us/technical-analysis/WIT|https://stocktwits.com/symbol/WIT|https://www.marketwatch.com/investing/stock/WIT,2.68,15.09,2.75,2.49,29.36,17.48,16.58
BUY,12/12/19,3.63,$3.83,10,WIT,Wipro Ltd,Software,1357014,21785.97,https://www.gurufocus.com/stock/WIT/summary|https://finance.yahoo.com/quote/WIT|https://stockinvest.us/technical-analysis/WIT|https://stocktwits.com/symbol/WIT|https://www.marketwatch.com/investing/stock/WIT,2.68,15.09,2.75,2.49,29.36,17.48,16.58
BUY,12/12/19,3.63,$3.83,10,WIT,Wipro Ltd,Software,1357014,21785.97,https://www.gurufocus.com/stock/WIT/summary|https://finance.yahoo.com/quote/WIT|https://stockinvest.us/technical-analysis/WIT|https://stocktwits.com/symbol/WIT|https://www.marketwatch.com/investing/stock/WIT,2.68,15.09,2.75,2.49,29.36,17.48,16.58
BUY,12/12/19,3.63,$3.83,10,WIT,Wipro Ltd,Software,1357014,21785.97,https://www.gurufocus.com/stock/WIT/summary|https://finance.yahoo.com/quote/WIT|https://stockinvest.us/technical-analysis/WIT|https://stocktwits.com/symbol/WIT|https://www.marketwatch.com/investing/stock/WIT,2.68,15.09,2.75,2.49,29.36,17.48,16.58
BUY,12/12/19,3.63,$3.83,10,WIT,Wipro Ltd,Software,1357014,21785.97,https://www.gurufocus.com/stock/WIT/summary|https://finance.yahoo.com/quote/WIT|https://stockinvest.us/technical-analysis/WIT|https://stocktwits.com/symbol/WIT|https://www.marketwatch.com/investing/stock/WIT,2.68,15.09,2.75,2.49,29.36,17.48,16.58
BUY,12/12/19,3.63,$3.83,10,WIT,Wipro Ltd,Software,1357014,21785.97,https://www.gurufocus.com/stock/WIT/summary|https://finance.yahoo.com/quote/WIT|https://stockinvest.us/technical-analysis/WIT|https://stocktwits.com/symbol/WIT|https://www.marketwatch.com/investing/stock/WIT,2.68,15.09,2.75,2.49,29.36,17.48,16.58
BUY,12/12/19,3.63,$3.83,10,WIT,Wipro Ltd,Software,1357014,21785.97,https://www.gurufocus.com/stock/WIT/summary|https://finance.yahoo.com/quote/WIT|https://stockinvest.us/technical-analysis/WIT|https://stocktwits.com/symbol/WIT|https://www.marketwatch.com/investing/stock/WIT,2.68,15.09,2.75,2.49,29.36,17.48,16.58
BUY,12/12/19,3.63,$3.83,10,WIT,Wipro Ltd,Software,1357014,21785.97,https://www.gurufocus.com/stock/WIT/summary|https://finance.yahoo.com/quote/WIT|https://stockinvest.us/technical-analysis/WIT|https://stocktwits.com/symbol/WIT|https://www.marketwatch.com/investing/stock/WIT,2.68,15.09,2.75,2.49,29.36,17.48,16.58
