Ticker,Company,Industry,Institutional Ownership,Market Cap ($M),PB Ratio,PS Ratio,Operating Margin %,Net Margin %,Price,Avg Daily TradeVolume
A,Agilent Technologies Inc,Medical Diagnostics & Research,86.57,"26,505.16",5.56,5.23,18.23,20.74,$85.45 ,"1,663,707"
AA,Alcoa Corp,Metals & Mining,94.47,"3,980.51",0.87,0.36,8.5,-7,$21.45 ,"3,922,959"
AAN,Aaron's Inc,Business Services,63.09,"3,824.30",2.05,1.01,9.59,5.09,$56.95 ,"907,433"
AAOI,Applied Optoelectronics Inc,Semiconductors,93.5,233.59,0.76,1.15,-23.58,-19.57,$11.61 ,"719,863"
AAON,AAON Inc,Construction,96.29,"2,599.67",9.31,5.73,13.64,10.94,$49.90 ,"159,224"
AAP,Advance Auto Parts Inc,Retail - Cyclical,96.11,"11,030.95",3.28,1.17,6.55,4.58,$159.27 ,"1,076,525"
AAT,American Assets Trust Inc,REITs,76.39,"2,694.47",2.05,8.69,30.19,11.29,$44.94 ,"301,247"
AAWW,Atlas Air Worldwide Holdings Inc,Transportation,91.12,716.12,0.32,0.28,7.58,11.9,$27.68 ,"420,175"
AAXN,Axon Enterprise Inc,Aerospace & Defense,96.02,"4,325.96",8.51,9.22,2.11,3.24,$72.90 ,"796,638"
ABB,ABB Ltd,Industrial Products,4.79,"55,886.33",3.84,1.79,7.24,5.06,$24.06 ,"1,906,028"
ABC,AmerisourceBergen Corp,Medical Distribution,91.96,"17,513.67",6.16,0.1,1.12,0.48,$85.05 ,"1,108,675"
ABEV,Ambev SA,Beverages - Alcoholic,11.12,"74,046.48",4.65,5.82,31.69,20.98,$4.71 ,"14,902,469"
ABG,Asbury Automotive Group Inc,Vehicles & Parts,98.85,"2,201.49",3.66,0.31,4.6,2.55,$114.05 ,"170,049"
ABM,ABM Industries Inc,Business Services,96.34,"2,571.68",1.68,0.39,3.38,1.96,$38.62 ,"330,253"
ABMD,Abiomed Inc,Medical Devices & Instruments,99.62,"7,721.97",7.8,9.6,30.31,26.92,$171.01 ,"844,345"
ABT,Abbott Laboratories,Medical Devices & Instruments,99.82,"154,350.80",4.84,4.94,13.74,10.5,$87.28 ,"4,620,438"
ACA,Arcosa Inc,Construction,33.33,"2,181.92",1.24,1.33,8.96,7.2,$45.09 ,"363,848"
ACC,American Campus Communities Inc,REITs,58.6,"6,361.82",1.92,6.85,20.91,11.55,$46.30 ,"668,614"
ACCO,ACCO Brands Corp,Industrial Products,68.55,910.7,1.2,0.5,10.41,5.05,$9.39 ,"549,961"
ACHC,Acadia Healthcare Co Inc,Healthcare Providers & Services,98.43,"2,910.39",1.17,0.93,11.62,-6.89,$32.86 ,"735,714"
ACIA,Acacia Communications Inc,Hardware,99.11,"2,788.09",5.02,6.55,3.82,6.58,$67.56 ,"402,223"
ACIU,AC Immune SA,Biotechnology,33.61,559.1,2.05,5.32,43.62,44.8,$8.30 ,"119,480"
ACIW,ACI Worldwide Inc,Software,60.37,"4,370.78",4.13,3.83,11.69,8.42,$37.81 ,"554,525"
ACLS,Axcelis Technologies Inc,Semiconductors,97.37,790.74,1.93,2.42,6.6,4.63,$24.39 ,"231,788"
ACM,AECOM,Construction,97.71,"6,848.97",1.85,0.34,3.3,-1.29,$43.60 ,"1,103,838"
ACMR,ACM Research Inc,Semiconductors,19.78,345.91,3.75,3.42,15.98,16.61,$19.01 ,"127,764"
ACN,Accenture PLC,Software,98.75,"134,851.82",9.08,3.14,14.65,11.06,$212.05 ,"1,753,889"
ACTG,Acacia Research Corp,Business Services,78.11,134.92,0.78,2.21,-10.2,-48.72,$2.68 ,"106,373"
ADES,Advanced Emissions Solutions Inc,Industrial Products,98.3,191.1,1.77,2.98,-20.66,51.71,$10.28 ,"249,168"
ADI,Analog Devices Inc,Semiconductors,20.26,"44,096.84",3.78,7.46,30.15,22.75,$119.73 ,"2,191,901"
ADM,Archer-Daniels Midland Co,Consumer Packaged Goods,99.98,"25,718.91",1.37,0.41,2.54,1.85,$46.20 ,"2,994,241"
ADNT,Adient PLC,Vehicles & Parts,16.16,"1,993.18",1.07,0.12,0.79,-2.97,$21.29 ,"1,343,428"
ADS,Alliance Data Systems Corp,Credit Services,17.4,"5,081.38",3.78,0.76,22.26,6.04,$110.33 ,"944,742"
ADSW,Advanced Disposal Services Inc,Waste Management,5.49,"2,944.98",3.18,1.82,5.51,-0.06,$32.94 ,"1,026,321"
ADT,ADT Inc,Business Services,99.91,"5,862.80",1.56,1.16,6.98,-10.01,$7.78 ,"1,495,933"
ADTN,Adtran Inc,Hardware,99.16,468.7,1.18,0.84,-4.88,-8.98,$9.80 ,"262,573"
ADUS,Addus HomeCare Corp,Healthcare Providers & Services,98.1,"1,479.38",3.13,2.17,4.69,3.33,$95.08 ,"167,716"
AEE,Ameren Corp,Utilities - Regulated,98.96,"18,609.69",2.3,3.09,20.85,13.34,$75.64 ,"1,697,882"
AEGN,Aegion Corp,Construction,21.22,694.25,1.61,0.58,3.08,-0.71,$22.57 ,"98,622"
AEIS,Advanced Energy Industries Inc,Hardware,96.94,"2,739.96",4.14,4.55,9.79,12.25,$71.48 ,"303,566"
AEM,Agnico Eagle Mines Ltd,Metals & Mining,98.35,"14,720.07",3.04,6.28,15.3,-11.22,$61.31 ,"1,119,811"
AEO,American Eagle Outfitters Inc,Retail - Cyclical,99.2,"2,441.31",1.97,0.59,7.99,6.2,$14.62 ,"4,731,109"
AEP,American Electric Power Co Inc,Utilities - Regulated,99.44,"46,372.20",2.36,2.97,18.54,13.53,$93.88 ,"2,397,891"
AER,AerCap Holdings NV,Transportation,62.63,"8,379.47",0.91,1.86,51.17,23.03,$62.50 ,"844,184"
AES,The AES Corp,Utilities - Regulated,99.74,"13,231.39",4.22,1.28,21.52,4.9,$19.93 ,"5,414,065"
AFIN,American Finance Trust Inc,REITs,21.67,"1,414.58",0.86,4.71,19.93,-2.69,$13.25 ,"704,128"
AFMD,Affimed NV,Biotechnology,68.05,214.97,7.21,3.85,-27.35,-25.49,$2.82 ,"747,380"
AG,First Majestic Silver Corp,Metals & Mining,47.3,"2,490.82",3.69,6.81,-1.09,-47.43,$12.16 ,"4,238,099"
AGCO,AGCO Corp,Farm & Heavy Construction Machinery,14.16,"5,878.67",1.97,0.66,6.2,3.42,$77.84 ,"494,041"
AGFS,AgroFresh Solutions Inc,Consumer Packaged Goods,82.25,141.66,0.43,0.87,-3.31,-20.8,$2.78 ,"82,633"
AGI,Alamos Gold Inc,Metals & Mining,94.42,"2,326.26",0.86,3.5,4.91,-2.14,$5.96 ,"2,417,678"
AGR,Avangrid Inc,Utilities - Regulated,19.08,"15,626.40",1.03,2.44,16.2,9.32,$50.57 ,"386,551"
AGRO,Adecoagro SA,Consumer Packaged Goods,53.98,997.44,1.03,1.19,10.7,-1.78,$8.49 ,"474,932"
AGS,PlayAGS Inc,Travel & Leisure,5.54,417.44,3.28,1.39,10.09,-7.87,$11.79 ,"351,248"
AGX,Argan Inc,Construction,99.49,636.12,1.83,2.46,-18.03,-14.58,$40.69 ,"162,604"
AGYS,Agilysys Inc,Software,95.09,599.75,6.1,3.84,-7.56,-7.99,$25.35 ,"139,601"
AHH,Armada Hoffler Properties Inc,REITs,51.01,"1,377",4.21,4.49,16.24,9.77,$17.98 ,"340,092"
AHT,Ashford Hospitality Trust Inc,REITs,44.68,293.06,0.94,0.2,8.17,-9.4,$2.87 ,"632,525"
AIMC,Altra Industrial Motion Corp,Industrial Products,85.86,"2,316.81",1.24,1.24,10.98,4.56,$35.88 ,"375,350"
AIN,Albany International Corp,Manufacturing - Apparel & Accessories,24.11,"2,473.21",3.77,2.38,17.84,11.53,$76.57 ,"195,165"
